Item.Number,tol_profit,botl_profit,State.Bottle.Cost
73804,0.0020119354471544713,3.229430894308943,6.452113821138211
77229,0.00201025,2.75,5.5
937093,0.0020089439999999995,7.971999999999998,15.940000000000001
80326,0.0020030399999999993,3.209999999999999,6.41
926931,0.0019980000000000006,13.320000000000004,26.63
977977,0.001998,4.5,9
953233,0.001995,8.75,17.5
15495,0.00199045,8.469999999999999,16.93
100179,0.001988,7,14
6238,0.00198602,4.99,9.97
902597,0.00198576,3.9400000000000004,7.87
901536,0.0019854685714285718,15.041428571428575,30.082857142857144
17544,0.0019837299999999995,16.669999999999995,33.34
919116,0.00198084,9.71,19.41
46687,0.00198,9,18
944542,0.00198,5.5,11
88356,0.0019795,9.25,18.5
48699,0.0019786764705882354,5.0735294117647065,10.137058823529411
995607,0.00197268,9.670000000000002,19.33
39834,0.0019690800000000002,2.6900000000000004,5.38
4861,0.00196875,6.25,12.5
77966,0.0019680900000000005,8.670000000000002,17.34
902810,0.0019655999999999996,4.199999999999999,8.4
902203,0.0019650000000000006,18.19444444444445,36.388888888888886
902917,0.0019645200000000004,3.210000000000001,6.42
34678,0.0019625,6.25,12.5
86684,0.00196118,4.9399999999999995,9.88
902538,0.0019595172413793107,9.896551724137932,19.79310344827586
927117,0.0019584000000000003,9.600000000000001,19.2
89820,0.00195775,47.75,95.5
101296,0.0019520900000000005,24.710000000000008,49.41
938187,0.00195,50,100
918001,0.00195,15,30
15660,0.0019492199999999996,24.989999999999995,49.97
26722,0.00194805,14.43,28.85
100498,0.001947,11,22
72509,0.001944,4.5,9
21242,0.001938,9.5,19
46598,0.001937,6.5,13
976642,0.0019318199999999997,7.317499999999999,14.625
961706,0.0019291799999999993,8.689999999999998,17.37
43745,0.0019279200000000005,2.7700000000000005,5.54
902075,0.0019276800000000006,5.020000000000001,10.03
54710,0.00192511,4.73,9.45
30544,0.0019247149367088614,7.181772151898736,14.353544303797468
949376,0.0019218800000000004,6.963333333333335,13.926666666666666
100766,0.00192,5,10
14495,0.0019159000000000001,2.45,4.89
37710,0.0019155200000000004,5.840000000000002,11.67
65450,0.0019123199999999995,9.959999999999997,19.92
39396,0.0019085,5.5,11
18906,0.001904,8,16
33181,0.0018983999999999997,8.399999999999999,16.8
943849,0.0018963000000000005,7.350000000000001,14.7
10932,0.001894,2,4
905866,0.0018937611940298504,7.514925373134327,15.019850746268657
26614,0.00189144,13.32,26.64
932342,0.00189,15,30
939611,0.00189,7,14
921986,0.00189,4.5,9
933933,0.00189,3.75,7.5
38530,0.0018855500000000004,2.1500000000000004,4.3
904937,0.0018792000000000004,3.4800000000000004,6.9575
988905,0.0018718799999999994,8.209999999999997,16.42
901641,0.0018702000000000007,11.988461538461543,23.974615384615383
77746,0.0018698699999999998,3.9699999999999998,7.94
989529,0.0018647299999999996,15.669999999999998,31.34
15727,0.0018612000000000006,3.960000000000001,7.92
921970,0.0018600000000000001,10,20
100624,0.00185866,4.67,9.33
35022,0.001854,6,12
39412,0.0018525,9.5,19
61618,0.0018502400000000002,4.720000000000001,9.44
969712,0.001848,5.5,11
937167,0.001848,5.5,11
