Item.Number,Category,Vendor,Pack,Bottle.Volume..ml.,State.Bottle.Retail,County,Store,City,Bottles.Sold,Popularity,Covid_index,PopularityC
89178,1022200,1,6,750,24.07439271255061,52,163,70,6413,FALSE,0.18348981115971408,1
89182,1022200,1,6,750,21.22961229946524,50,165,68,6955,FALSE,0.17857142857142855,1
89191,1022100,1,12,500,17.25,125,1515,354,61148,TRUE,1.1226448308972583,1
89193,1022100,1,48,200,4.591305788775961,93,676,173,260461,TRUE,-9.386615811373092,0
89194,1022100,1,24,375,8.337162910971555,120,1089,281,144383,TRUE,-4.587383975248053,0
89196,1022100,1,12,750,16.61,128,1887,416,284771,TRUE,2.596441907606956,1
89197,1022100,1,12,1000,19.596842868857628,117,694,256,237505,TRUE,-0.19294249439880506,0
89198,1022100,1,6,1750,31.73151960325629,114,704,208,86541,TRUE,1.5632774991998293,1
89199,1022100,1,12,375,8.385874293170945,118,1168,343,153360,TRUE,-2.416744905579857,0
89200,1022200,1,6,750,51.044377013963484,63,264,91,9933,FALSE,0.5764643123866424,1
89206,1022200,1,12,750,23.32049261083744,105,613,176,31428,TRUE,0.8215085884988798,1
89207,1022200,1,6,1000,26.39927545691906,58,174,88,19013,FALSE,0.07763256161314414,1
89215,1022200,1,12,750,23.50012805587893,78,273,111,10658,FALSE,0.0839112343966713,1
89221,1022300,1,6,750,28.935942028985508,44,134,62,6655,FALSE,-0.07035100821508589,0
89230,1022200,1,6,750,33.62,69,262,94,4426,FALSE,0.15436359756748105,1
89233,1022200,1,6,750,30.77396449704142,51,210,73,3126,FALSE,0.15979408940573991,1
89234,1022100,2,6,750,22.5,35,104,48,7388,FALSE,-0.07170596393897366,0
89235,1022200,2,6,750,20.63,24,74,38,6385,FALSE,0.5495732422916889,1
89242,1022200,1,6,750,23.176673427991886,82,361,122,24522,FALSE,0.49582844340125887,1
89249,1022200,1,6,1750,45.4298418972332,29,75,38,2457,FALSE,-0.07569614851168249,0
89267,1022200,1,6,750,51,19,58,32,431,FALSE,NA,0
89268,1022200,1,6,1750,31.924547461368654,32,65,44,4065,FALSE,-0.14461218393257225,0
89269,1022200,1,6,750,47.25,22,67,32,406,FALSE,NA,0
89274,1022200,1,6,750,21.56,81,316,115,6713,FALSE,-0.04883175077349835,0
89278,1022200,1,12,750,18.257856301531216,97,402,133,15335,FALSE,0.84769550837512,1
89286,1022200,2,6,750,21.18841743119266,65,289,92,14202,FALSE,0.3614477755254454,1
89301,1022100,1,12,1000,7.68,23,48,30,18679,FALSE,3.713970980475835,1
89320,1701100,1,6,750,42.51,18,37,25,114,FALSE,NA,0
89329,1022200,1,6,750,44.35008976660682,55,198,79,4334,FALSE,0.06082364237704044,1
89339,1022200,1,6,750,39.329182879377434,68,273,98,10898,FALSE,0.2035260855649205,1
89343,1022200,1,6,750,36.9,32,71,44,318,FALSE,NA,0
89386,1022100,1,12,750,11.24603829646748,97,402,167,19649,FALSE,-0.08908033713858957,0
89387,1022100,1,12,1000,11.81656936736959,94,351,156,395318,TRUE,6.728027312493332,1
89388,1022100,1,6,1750,22.49585635359116,69,202,99,14267,FALSE,0.1772644830897258,1
89443,1022200,1,12,750,16.5,54,200,80,15126,FALSE,0.1341992958497813,1
89445,1022200,1,12,1000,17.377913809990208,28,58,36,19091,FALSE,0.6317241011415768,1
89447,1022100,1,12,1000,11.00065843621399,51,106,67,25663,TRUE,1.3023578363384187,1
89448,1022100,1,6,1750,18,12,16,13,226,FALSE,NA,0
89465,1022200,1,6,750,24.99,7,8,7,25,FALSE,NA,0
89468,1022200,1,12,750,15.074131764705882,57,182,76,12302,FALSE,0.017961165048543698,1
89470,1022200,1,6,1750,30,16,34,23,418,FALSE,NA,0
89496,1022200,2,12,750,10.00042042042042,92,345,144,46631,TRUE,-0.018025178704790312,0
89504,1022300,1,6,750,38.25,11,21,14,137,FALSE,NA,0
89519,1022200,2,6,750,26.34982486865149,44,127,57,2184,FALSE,-0.018670649738610892,0
89532,1022100,1,24,375,8.014044943820224,22,51,28,1252,FALSE,-0.38528752800597454,0
89533,1022200,1,12,750,17.553780378037803,92,376,123,24473,FALSE,0.456961485116825,1
89535,1022100,1,12,1000,20.25,30,50,34,2867,FALSE,-0.11653686119705536,0
89566,1022300,2,12,750,19.89,81,289,114,7621,FALSE,0.08959778085991679,1
89576,1022200,1,12,750,9.45,1,2,2,5,FALSE,NA,0
89577,1022100,2,12,1000,10.53,64,154,86,290599,TRUE,5.779680998613037,1
89578,1022200,1,6,1750,19.158620689655173,15,17,17,403,FALSE,NA,0
89583,1022200,1,6,750,24.47486904761905,52,144,69,3625,FALSE,0.13941640883388456,1
89590,1022200,1,6,750,42.75,24,71,36,322,FALSE,NA,0
89610,1022200,1,6,750,19.961173776123676,75,366,109,40160,TRUE,-1.0621359223300972,0
89617,1022200,1,12,750,16.52,47,133,64,7171,FALSE,0.3341032753654113,1
89621,1022200,1,6,1750,31.601723484848485,21,65,27,3821,FALSE,-0.16014616451509656,0
89624,1022200,2,12,375,21.9975884244373,76,291,114,6343,FALSE,0.7958924570575057,1
